,title,city,address,stars,text,textTranslated,text_PL,text_EN
26,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",1,"Nie polecam, może i mięso się trochę polepszyło ale noc spędzona na kibelku. A to nie jest normą bo jadam kebaby w różnych miejscach.",,"Nie polecam, może i mięso się trochę polepszyło ale noc spędzona na kibelku. A to nie jest normą bo jadam kebaby w różnych miejscach.","I don't recommend it, maybe the meat got a little better, but the night spent on the toilet, and that's not normal because I eat kebabs in different places."
29,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",4,Czysto i przyjemnie . Jedzenie smacznego.  Polecam .,,Czysto i przyjemnie . Jedzenie smacznego.  Polecam .,Clean and enjoyable. Enjoy your meal. I recommend.
30,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Najlepszy sprzedawca w mieście,,Najlepszy sprzedawca w mieście,Best salesman in town.
34,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Najlepszy kebab w mieście, niezmiennie od roku, a przynajmniej tak długo już go znam ;)",,"Najlepszy kebab w mieście, niezmiennie od roku, a przynajmniej tak długo już go znam ;)","The best kebab in town, invariably for a year, or at least so long I've known him;)"
35,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Obsługa i jedzenia na dobrym poziomie . Polecam .,,Obsługa i jedzenia na dobrym poziomie . Polecam .,Service and food on a good level. I recommend.
36,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",2,ok ale wiecej nie rob,,ok ale wiecej nie rob,"Okay, but don't do it anymore."
37,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",3,"Jest coraz słabiej, zamiast lepiej po ostatnich negatywnych komentarzach, mniej mięsa więcej reszty, to jak będzie smakował kebab w dużym stopniu zależy od tego jaką pora i kto przygotowuje",,"Jest coraz słabiej, zamiast lepiej po ostatnich negatywnych komentarzach, mniej mięsa więcej reszty, to jak będzie smakował kebab w dużym stopniu zależy od tego jaką pora i kto przygotowuje","It's getting weaker, instead of better after the last negative comments, less meat more rest, how the kebab will taste depends to a large extent on what time and who prepares"
39,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo miła obsługa i smaczny kebab. Polecam.,,Bardzo miła obsługa i smaczny kebab. Polecam.,Very nice service and tasty kebab. I recommend.
40,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Dara - najlepsze kebaby w Polsce,,Dara - najlepsze kebaby w Polsce,Dara - the best kebabs in Poland
42,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",3,"Im więcej lokali tej marki w Rzeszowie, tym jakość jedzenia gorsza. Coraz częściej kebsy spalone, albo pełne sałaty kosztem mięsa.",,"Im więcej lokali tej marki w Rzeszowie, tym jakość jedzenia gorsza. Coraz częściej kebsy spalone, albo pełne sałaty kosztem mięsa.","The more locations of this brand in Rzeszów, the worse the quality of food. Increasingly, kebs burned, or full lettuce at the expense of meat."
44,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",4,"Kebab studencki kapusty nawalone ile wlezie, mięsa co kot napłakał. Szkoda, że to miejsce tak zeszło na psy...

EDIT: listopad 2024 - kebab się poprawił, dobra ilość mięsa w zestawieniu do ilości warzyw, spożywany w lokalu",,"Kebab studencki kapusty nawalone ile wlezie, mięsa co kot napłakał. Szkoda, że to miejsce tak zeszło na psy...

EDIT: listopad 2024 - kebab się poprawił, dobra ilość mięsa w zestawieniu do ilości warzyw, spożywany w lokalu","Kebab student cabbages wasted all the time, meat which cat wept. It's a pity that this place so went to dogs... EDIT: November 2024 - kebab improved, good meat quantity in comparison to the amount of vegetables consumed in the premises"
45,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Jedzenie super: placisz jedynie za mieso a dostajesz: mięso i kości.  Obsługa super, fajni i mili.",,"Jedzenie super: placisz jedynie za mieso a dostajesz: mięso i kości.  Obsługa super, fajni i mili.","Super food: you only pay for meat and you get: meat and bones. Service super, cool and nice."
46,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",4,Klimat na szybkie jedzenie. Nic nadzwyczajnego. Jedzenie ok choć czasami brakuje świeżości. Obsługa bardzo ok,,Klimat na szybkie jedzenie. Nic nadzwyczajnego. Jedzenie ok choć czasami brakuje świeżości. Obsługa bardzo ok,Climate for fast food. Nothing unusual. Food approx though sometimes lacks freshness. Service very ok
47,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Najlepszy kebab w Rzeszowie 👍,,Najlepszy kebab w Rzeszowie 👍,The best kebab in Rzeszów
48,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Kiedyś pyszny, dziś w zamowieniu przyszedł cały rozmoknięty i zimny :( na dodatek sosy zostały pomieszane i dziecko otrzymało kebaba z ostrym sosem",,"Kiedyś pyszny, dziś w zamowieniu przyszedł cały rozmoknięty i zimny :( na dodatek sosy zostały pomieszane i dziecko otrzymało kebaba z ostrym sosem","Once delicious, today in order came all soaked and cold: (( plus the sauces were mixed and the baby got a kebab with hot sauce"
50,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Niedobry kebab wręcz paskudny cały przemoknięty od sosów nie da się jeść chyba ,że łyżką jak zupę ale samak mega słaby 🤢 7 raz z rzędu pomylone zamówienie nie polecam paskudztwo !!! Na pewno nigdy nie wrócę tu nic zjeść !",,"Niedobry kebab wręcz paskudny cały przemoknięty od sosów nie da się jeść chyba ,że łyżką jak zupę ale samak mega słaby 🤢 7 raz z rzędu pomylone zamówienie nie polecam paskudztwo !!! Na pewno nigdy nie wrócę tu nic zjeść !",Bad kebab even nasty whole soaked with sauces can't be eaten unless it's a spoon like soup but the same mega weak 7 times in a row crazy order I don't recommend nasty!!!! I'll definitely never come back here to eat anything!
51,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Nie polecam, jedzenie wątpliwej jakosci.",,"Nie polecam, jedzenie wątpliwej jakosci.",I don't recommend food of dubious quality.
52,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Nie miałem zastrzeżeń aż do dzisiaj, w połowie jedzenia kebaba poczułem smród starego mięsa, nie zjadłem całego. Po powrocie do domu zwróciłem całego kebaba. Niech nastawiają więcej budek i jeszcze bardziej schodzą z jakością. NIE POLECAM",,"Nie miałem zastrzeżeń aż do dzisiaj, w połowie jedzenia kebaba poczułem smród starego mięsa, nie zjadłem całego. Po powrocie do domu zwróciłem całego kebaba. Niech nastawiają więcej budek i jeszcze bardziej schodzą z jakością. NIE POLECAM","I had no objections until today, halfway through eating kebabs I felt the smell of old meat, did not eat whole. When I returned home I returned the whole kebab. Let them set more booths and even more down with quality."
54,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Zamówienie przyjechało po 2.5 godz zimne bułka rozwalona od surowek,,Zamówienie przyjechało po 2.5 godz zimne bułka rozwalona od surowek,The order arrived after 2.5 hours cold bread crumbled from raw materials
57,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Kebab Super Bo To Dara
Co Mam Mówić?! Pyszne

Minus Że Lokal Mały I Czasami Ciężko Obsługe Zrozumieć.
Ale Tragedi Nie Ma 😁

Pozdrawiam",,"Kebab Super Bo To Dara
Co Mam Mówić?! Pyszne

Minus Że Lokal Mały I Czasami Ciężko Obsługe Zrozumieć.
Ale Tragedi Nie Ma 😁

Pozdrawiam",Kebab Super Bo It's Dara What am I supposed to say?! Delicious Minus That Small and Sometimes Hard Service Understand. But Tragedi No Greetings
66,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Doner kebab nacho alehandro garnacho,,Doner kebab nacho alehandro garnacho,Doner kebab nacho alehandro gornacho
67,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,10/10 jedzenie sigma,,10/10 jedzenie sigma,10/10 sigma food
70,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,сладкий,słodki,słodki,sweet
81,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Pan jajcarz zawsze miły i żartem rzuci :D,,Pan jajcarz zawsze miły i żartem rzuci :D,Mr. Joker will always play nice and joke:D
82,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Super obsługa! Panowie mega mili i pomocni. Mięso - jak to w Darze, średnie.",,"Super obsługa! Panowie mega mili i pomocni. Mięso - jak to w Darze, średnie.","Great service! Gentlemen super nice and helpful. Meat - as it is in Dara, medium."
96,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Bardzo miła obsługa, dobre jedzenie i wszystko. Polecam",,"Bardzo miła obsługa, dobre jedzenie i wszystko. Polecam","Very nice service, good food and everything. I recommend"
100,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",3,"Kebab średni - już chyba tylko na dawnej marce jadą, bo smakowo bez szalu . Na pierwszy głód może być. Na pewno bardzo miła obsluga. Dla dziecka zawsze mają lizaka ;)",,"Kebab średni - już chyba tylko na dawnej marce jadą, bo smakowo bez szalu . Na pierwszy głód może być. Na pewno bardzo miła obsluga. Dla dziecka zawsze mają lizaka ;)","Kebab medium - probably only on the old brand go, because tastelessly without a scarf. For the first hunger can be. Surely very nice service. For the child always have a lollipop;)"
101,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo miła obsługa. Polecam.,,Bardzo miła obsługa. Polecam.,Very nice service.
103,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Bardzo miła, zabawna obsługa. Kebab na Leskiej jest jednym z lepszych kebabów z sieci Dary.
Polecam 😁",,"Bardzo miła, zabawna obsługa. Kebab na Leskiej jest jednym z lepszych kebabów z sieci Dary.
Polecam 😁","Very nice, funny service. Kebab in Leska is one of the best kebabs from the Dary network. I recommend"
106,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Często odwiedzam i uważam, że to najlepszy kebab w Rzeszowie. 🙂 Bardzo miła obsługa. 🙂",,"Często odwiedzam i uważam, że to najlepszy kebab w Rzeszowie. 🙂 Bardzo miła obsługa. 🙂",I often visit and think it's the best kebab in Rzeszów. 🙂 Very nice service. 🙂
107,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Bardzo smaczne kebaby. Często tutaj zaglądam, gdy potrzebuję coś na szybko",,"Bardzo smaczne kebaby. Często tutaj zaglądam, gdy potrzebuję coś na szybko",Very tasty kebabs.
110,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Świetny kebaba polecam każdemu dobre ceny i dobra jakość,,Świetny kebaba polecam każdemu dobre ceny i dobra jakość,Great kebab I recommend to everyone good prices and good quality
115,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Polecam zestaw na talerzu w Dara kebab na ul. Leskiej,",,"Polecam zestaw na talerzu w Dara kebab na ul. Leskiej,","I recommend a set on a plate in Dara kebab on Leska Street,"
117,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo dobry kebab. Polecam,,Bardzo dobry kebab. Polecam,Very good kebab. I recommend
119,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam z całego serduszka Pan,,Polecam z całego serduszka Pan,I recommend from all over the heart Pan
120,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Дара кебаб в Польше сами в кусное ресторан,Dara kebab w Polsce sam w pysznej restauracji,Dara kebab w Polsce sam w pysznej restauracji,Dara kebab in Poland alone in a delicious restaurant
130,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Класс👌,Super👌,Super👌,Cool.
135,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Very nice and delicious foods and friendly staff.
Really recommended","Bardzo ładne i smaczne jedzenie oraz przyjazny personel.
Naprawdę polecam","Bardzo ładne i smaczne jedzenie oraz przyjazny personel.
Naprawdę polecam",Very nice and tasty food and friendly staff. I really recommend
142,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,👍👍👍,,👍👍👍,"Okay, okay."
146,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Unutulmaz bir lezzet,Niezapomniany smak,Niezapomniany smak,The Unforgettable Taste
149,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Mükemmel,Doskonały,Doskonały,Perfect
152,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Kebab w sam sobie przepyszny, wygląd, czystość - nie ma się do niczego przyczepić.
👍aaa i ceny też tanie można się najeść za 30 zł",,"Kebab w sam sobie przepyszny, wygląd, czystość - nie ma się do niczego przyczepić.
👍aaa i ceny też tanie można się najeść za 30 zł","Kebab in itself is delicious, looks, cleanliness - there is nothing to attach to."
153,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo lubię tam zamawiać. Dobre jedzonko i fajni Panowie 😁😉,,Bardzo lubię tam zamawiać. Dobre jedzonko i fajni Panowie 😁😉,I like to order there very much. Good food and nice Gentlemen
155,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Super dobry kebab i cena też jest bardzo dobra polecam,,Super dobry kebab i cena też jest bardzo dobra polecam,Super good kebab and price is also very good recommended
156,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",1,"Bardzo nie polecam Dary na Leskiej już drugi raz miałem problemy z żołądkiem, nie wiem czy to surówki czy mięso ale trzeciego raz już nie będzie, małe porcje w stosunku do ceny przykład: Posypka ala Dara duża cenowo różni się 8 zl od małej i totalnie nie opłaca się w stosunku do ilości, po za tym byłem świadkiem jak wyproszono jakiegoś chłopaka co miał małego psa na rękach i chciał tylko szybko zamówić i wyjść z lokalu zaczekać ;/ biorąc pod uwagę ile jest psiolubnych restauracji w dobie tych czasów to Dara zatrzymał się w miejscu. Ani jakość ani ilość.",,"Bardzo nie polecam Dary na Leskiej już drugi raz miałem problemy z żołądkiem, nie wiem czy to surówki czy mięso ale trzeciego raz już nie będzie, małe porcje w stosunku do ceny przykład: Posypka ala Dara duża cenowo różni się 8 zl od małej i totalnie nie opłaca się w stosunku do ilości, po za tym byłem świadkiem jak wyproszono jakiegoś chłopaka co miał małego psa na rękach i chciał tylko szybko zamówić i wyjść z lokalu zaczekać ;/ biorąc pod uwagę ile jest psiolubnych restauracji w dobie tych czasów to Dara zatrzymał się w miejscu. Ani jakość ani ilość.","I don't really recommend Dara in Leska for the second time I had stomach problems, I don't know if it's pig iron or meat but the third time it won't be, small portions compared to the price example: Dara's sprinkle is a big price difference between 8 zł and a small one and it doesn't pay off in relation to the quantity, after that I witnessed some boy who had a small dog on his hands and wanted to just order and leave the premises quickly ;/ considering how many psychic restaurants there are in these times it's Dara stopped in place. Neither quality nor quantity."
163,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Dara kebab is best👌,Najlepszy jest kebab Dara👌,Najlepszy jest kebab Dara👌,The best is the dara kebab.
183,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Świetne jedzenie! Kebab bardzo smaczny, mięso świeże i dobrze przyprawione, a porcje duże. Obsługa miła i szybka. Ceny również przystępne, na pewno wrócę. Polecam każdemu, kto lubi dobry kebab!",,"Świetne jedzenie! Kebab bardzo smaczny, mięso świeże i dobrze przyprawione, a porcje duże. Obsługa miła i szybka. Ceny również przystępne, na pewno wrócę. Polecam każdemu, kto lubi dobry kebab!","Great food! Kebab very tasty, fresh and well seasoned meat, and large portions. Service nice and fast. Prices also affordable, I will definitely come back. I recommend anyone who likes good kebab!"
185,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Smacznie i szybko,,Smacznie i szybko,Tasty and fast
189,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Jedzenie smaczne zawsze szybko i czysto,,Jedzenie smaczne zawsze szybko i czysto,Tasty food always fast and clean
199,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Yemekleri çok güzel,Jedzenie jest bardzo dobre,Jedzenie jest bardzo dobre,The food is very good.
218,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Very good,Bardzo dobry,Bardzo dobry,Very good
220,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Polecam !!!
Krótki czas oczekiwania
Bardzo dobry kebab",,"Polecam !!!
Krótki czas oczekiwania
Bardzo dobry kebab",I recommend!!! Short waiting time Very good kebab
224,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Super 👍👍👍👍🏍️🏍️🏍️🏍️,,Super 👍👍👍👍🏍️🏍️🏍️🏍️,Cool.
228,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Superrr❤❤❤moje życie stało się lepsze🐬🐬🐬 FIN👊💥,,Superrr❤❤❤moje życie stało się lepsze🐬🐬🐬 FIN👊💥,Superrr. My life has become better. FIN.
230,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Obsluga bardzo miła, jedzonko zawsze smaczne.",,"Obsluga bardzo miła, jedzonko zawsze smaczne.","Service very nice, food always tasty."
231,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Good perfect good kebab. Of the best in Rzeszów,"Dobry, doskonały, dobry kebab. Z najlepszych w Rzeszowie","Dobry, doskonały, dobry kebab. Z najlepszych w Rzeszowie","Good, perfect, good kebab. With the best in Rzeszów"
232,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",2,"Byliśmy w 4 osoby i kebab był dobry w smaku, każdemu smakował. Niestety na następny dzień KAŻDY z nas miał zatrucie żołądkowe.",,"Byliśmy w 4 osoby i kebab był dobry w smaku, każdemu smakował. Niestety na następny dzień KAŻDY z nas miał zatrucie żołądkowe.","We were in 4 people and kebab was good in taste, everyone liked it. Unfortunately, for the next day each of us had stomach poisoning."
236,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Super obsługa, pyszna fanta😃",,"Super obsługa, pyszna fanta😃","Super service, delicious fantasy"
239,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Kebab smaczny, produkty świeże, dobrze przyrządzony, miła obsługa.",,"Kebab smaczny, produkty świeże, dobrze przyrządzony, miła obsługa.","Kebab tasty, fresh products, well cooked, nice service."
241,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Everything tasted delicious, and the prices were fair. Highly recommend this place.","Wszystko smakowało wyśmienicie, a ceny były uczciwe. Gorąco polecam to miejsce.","Wszystko smakowało wyśmienicie, a ceny były uczciwe. Gorąco polecam to miejsce.","Everything tasted great, and the prices were fair."
243,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Very nice 👍🏻,Bardzo miło 👍🏻,Bardzo miło 👍🏻,Very nice.
246,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,🖤🖤,,🖤🖤,"Okay, okay."
247,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Уютно и люди хорошие,Przytulni i mili ludzie,Przytulni i mili ludzie,Cozy and nice people
248,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Очень вкусно👍,Bardzo smaczne👍,Bardzo smaczne👍,Very tasty.
257,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Kebab przepyszny 🤤,,Kebab przepyszny 🤤,Tasty Kebab.
264,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Jest ok,,Jest ok,It's okay.
265,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam! Jest miło i bardzo smacznie.,,Polecam! Jest miło i bardzo smacznie.,It's nice and very tasty.
272,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Najlepsza Dara w Rzeszowie,,Najlepsza Dara w Rzeszowie,Best Dara in Rzeszów
274,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Najlepszy pocket z falafelem jakiego jadłem 🔥💪🏼,,Najlepszy pocket z falafelem jakiego jadłem 🔥💪🏼,The best pocket I've ever had with falafel.
280,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Best kebab in baranówka,,Best kebab in baranówka,Best kebab in lamb
281,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Дуже смачно,персонал привітний🫶🏼","Bardzo smaczne, personel jest przyjazny?","Bardzo smaczne, personel jest przyjazny?","Very tasty, is the staff friendly?"
284,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Pysznie ,smacznie i przyjemnie",,"Pysznie ,smacznie i przyjemnie","Delicious, tasty and pleasant."
287,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Wpadłem bo byłem blisko i nie żałuję,,Wpadłem bo byłem blisko i nie żałuję,I stopped by because I was close and I didn't regret
